participant_number,group,judgment_of_learning,response_time,percent_correct,test_delay_minutes,in_mri
2,H,71.0,5.59,0.36,10016.41,0
3,H,47.0,4.02,0.0,10016.61,0
4,H,63.0,3.65,0.29,10027.26,0
5,H,22.0,3.04,0.1,10058.57,1
6,H,61.0,2.68,0.02,10002.27,1
7,H,92.0,3.25,0.22,10027.79,1
8,H,75.0,3.92,0.3,10057.1,1
9,H,50.0,4.09,0.2,10035.59,0
10,H,61.0,5.12,0.02,9982.45,0
11,H,48.0,5.32,0.34,10042.3,1
12,H,47.0,1.54,0.0,10114.27,0
13,H,94.0,2.95,0.2,10011.16,1
14,H,21.0,4.28,0.08,10014.48,1
15,H,52.0,2.18,0.2,10008.47,0
16,H,17.0,4.81,0.04,10043.7,0
17,H,76.0,3.74,0.22,10019.04,0
18,H,54.0,3.44,0.26,10040.16,1
19,H,49.0,4.2,0.02,9974.09,1
20,H,47.0,4.78,0.14,10021.76,1
21,H,60.0,3.19,0.27,10013.55,0
22,H,50.0,2.55,0.22,10027.82,0
23,H,48.0,4.37,0.33,10039.54,0
24,H,27.0,3.49,0.14,10020.96,1
25,H,66.0,5.37,0.12,10031.33,1
26,H,53.0,3.3,0.32,10023.39,1
27,H,64.0,2.5,0.48,10060.51,1
28,H,55.0,5.39,0.02,10055.86,0
29,H,56.0,3.05,0.0,10032.49,1
30,H,38.0,3.17,0.04,10262.55,0
31,H,72.0,2.77,0.52,10041.74,1
32,H,70.0,4.11,0.42,10003.44,0
33,H,82.0,4.03,0.08,10430.95,1
34,H,46.0,3.54,0.04,10017.08,1
35,H,32.0,4.07,0.1,11205.58,1
36,H,69.0,2.51,0.16,11507.79,1
37,H,51.0,5.4,0.2,9935.31,1
38,H,72.0,3.42,0.47,10041.68,0
39,H,53.0,6.13,0.11,10034.75,0
40,H,70.0,4.48,0.2,10002.85,1
41,H,58.0,2.91,0.27,10031.59,0
42,H,51.0,4.24,0.1,10109.87,1
43,H,67.0,5.55,0.36,10014.9,0
44,H,89.0,5.56,0.31,10023.35,0
45,H,26.0,5.83,0.12,11466.84,1
46,H,51.0,5.0,0.04,10022.76,1
47,H,50.0,4.1,0.09,10034.43,0
48,H,43.0,3.06,0.16,10023.23,0
49,H,90.0,2.84,0.89,10056.45,0
50,H,66.0,3.63,0.67,10041.84,0
