lithuanian_word,english_word_correct,english_word_response,trial_start,trial_end,participant_num,group
pastatas,building,shirt,2016-06-14 17:18:16,2016-06-14 17:18:18,14,A
mesa,meat,meat,2016-06-14 17:18:19,2016-06-14 17:18:20,14,A
bugnas,drum,drum,2016-06-14 17:18:20,2016-06-14 17:18:26,14,A
kreida,chalk,city,2016-06-14 17:18:27,2016-06-14 17:18:31,14,A
muilas,soap,sea,2016-06-14 17:18:31,2016-06-14 17:18:41,14,A
rusys,basement,iron,2016-06-14 17:18:42,2016-06-14 17:18:44,14,A
mokykla,school,ball,2016-06-14 17:18:45,2016-06-14 17:18:56,14,A
nafta,oil,unsure,2016-06-14 17:18:56,2016-06-14 17:19:07,14,A
dirzas,belt,iron,2016-06-14 17:19:08,2016-06-14 17:19:09,14,A
pupa,bean,unsure,2016-06-14 17:19:10,2016-06-14 17:19:12,14,A
traukinys,train,train,2016-06-14 17:19:13,2016-06-14 17:19:14,14,A
arbata,tea,tea,2016-06-14 17:19:15,2016-06-14 17:19:16,14,A
sausainis,cookie,unsure,2016-06-14 17:19:17,2016-06-14 17:19:45,14,A
purvas,dirt,iron,2016-06-14 17:19:45,2016-06-14 17:19:48,14,A
smuikas,violin,unsure,2016-06-14 17:19:49,2016-06-14 17:19:51,14,A
zele,jelly,jelly,2016-06-14 17:19:52,2016-06-14 17:20:03,14,A
burna,mouth,unsure,2016-06-14 17:20:03,2016-06-14 17:20:05,14,A
kriaukle,sink,water,2016-06-14 17:20:06,2016-06-14 17:20:17,14,A
daina,song,forgot,2016-06-14 17:20:18,2016-06-14 17:20:22,14,A
kamuolys,ball,ball,2016-06-14 17:20:22,2016-06-14 17:20:26,14,A
sesuo,sister,sister,2016-06-14 17:20:27,2016-06-14 17:20:29,14,A
smegenys,brain,brain,2016-06-14 17:20:29,2016-06-14 17:20:32,14,A
gelezis,iron,iron,2016-06-14 17:20:32,2016-06-14 17:20:35,14,A
kardas,sword,sword,2016-06-14 17:20:36,2016-06-14 17:20:40,14,A
tiltas,bridge,bridge,2016-06-14 17:20:40,2016-06-14 17:20:42,14,A
lova,bed,bed,2016-06-14 17:20:43,2016-06-14 17:20:45,14,A
plyta,brick,unsure,2016-06-14 17:20:45,2016-06-14 17:20:47,14,A
kirvis,axe,unsure,2016-06-14 17:20:48,2016-06-14 17:20:50,14,A
upe,river,rain,2016-06-14 17:20:50,2016-06-14 17:20:58,14,A
padazas,gravy,unsure,2016-06-14 17:20:59,2016-06-14 17:21:00,14,A
kunigas,priest,iron,2016-06-14 17:21:01,2016-06-14 17:21:03,14,A
knyga,book,book,2016-06-14 17:21:04,2016-06-14 17:21:07,14,A
lietus,rain,unsure,2016-06-14 17:21:08,2016-06-14 17:21:10,14,A
miestas,city,city,2016-06-14 17:21:11,2016-06-14 17:21:12,14,A
varpas,bell,unsure,2016-06-14 17:21:13,2016-06-14 17:21:15,14,A
batas,shoe,shoe,2016-06-14 17:21:15,2016-06-14 17:21:17,14,A
karalius,king,king,2016-06-14 17:21:18,2016-06-14 17:21:21,14,A
masina,car,unsure,2016-06-14 17:21:21,2016-06-14 17:21:24,14,A
pinigine,wallet,unsure,2016-06-14 17:21:24,2016-06-14 17:21:29,14,A
akis,eye,eye,2016-06-14 17:21:29,2016-06-14 17:21:31,14,A
laiptelis,stair,unsure,2016-06-14 17:21:31,2016-06-14 17:21:33,14,A
kumpis,ham,ham,2016-06-14 17:21:34,2016-06-14 17:21:36,14,A
laikrodis,clock,clock,2016-06-14 17:21:37,2016-06-14 17:21:39,14,A
duona,bread,unsure,2016-06-14 17:21:40,2016-06-14 17:21:41,14,A
vaistas,drug,unsure,2016-06-14 17:21:42,2016-06-14 17:21:45,14,A
