participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
8,a,kreida,chalk,2016-06-09 13:14:06,2016-06-09 13:14:12,41,5.486
8,a,mesa,meat,2016-06-09 13:14:13,2016-06-09 13:14:15,69,2.771
8,a,pastatas,building,2016-06-09 13:14:16,2016-06-09 13:14:19,70,3.202
8,a,muilas,soap,2016-06-09 13:14:20,2016-06-09 13:14:23,29,3.137
8,a,bugnas,drum,2016-06-09 13:14:24,2016-06-09 13:14:31,78,6.573
8,a,rusys,basement,2016-06-09 13:14:31,2016-06-09 13:14:36,50,4.68
8,a,nafta,oil,2016-06-09 13:14:37,2016-06-09 13:14:40,62,3.269
8,a,pupa,bean,2016-06-09 13:14:41,2016-06-09 13:14:44,87,2.971
8,a,mokykla,school,2016-06-09 13:14:45,2016-06-09 13:14:49,16,3.999
8,a,dirzas,belt,2016-06-09 13:14:49,2016-06-09 13:14:54,41,4.031
8,a,arbata,tea,2016-06-09 13:14:54,2016-06-09 13:14:57,41,2.79
8,a,smuikas,violin,2016-06-09 13:14:58,2016-06-09 13:15:02,18,4.28
8,a,traukinys,train,2016-06-09 13:15:03,2016-06-09 13:15:06,64,2.903
8,a,sausainis,cookie,2016-06-09 13:15:07,2016-06-09 13:15:15,8,8.065
8,a,purvas,dirt,2016-06-09 13:15:16,2016-06-09 13:15:19,10,3.402
8,a,kamuolys,ball,2016-06-09 13:15:20,2016-06-09 13:15:24,9,4.065
8,a,burna,mouth,2016-06-09 13:15:25,2016-06-09 13:15:28,65,3.185
8,a,kriaukle,sink,2016-06-09 13:15:29,2016-06-09 13:15:31,11,2.537
8,a,zele,jelly,2016-06-09 13:15:32,2016-06-09 13:15:34,50,2.488
8,a,daina,song,2016-06-09 13:15:35,2016-06-09 13:15:38,77,2.572
8,a,gelezis,iron,2016-06-09 13:15:39,2016-06-09 13:15:43,38,3.983
8,a,sesuo,sister,2016-06-09 13:15:43,2016-06-09 13:15:47,38,3.882
8,a,smegenys,brain,2016-06-09 13:15:48,2016-06-09 13:15:51,26,2.671
8,a,tiltas,bridge,2016-06-09 13:15:52,2016-06-09 13:15:54,68,2.422
8,a,kardas,sword,2016-06-09 13:15:55,2016-06-09 13:16:01,60,6.008
8,a,plyta,brick,2016-06-09 13:16:02,2016-06-09 13:16:05,9,3.468
8,a,lova,bed,2016-06-09 13:16:06,2016-06-09 13:16:09,80,2.706
8,a,kirvis,axe,2016-06-09 13:16:09,2016-06-09 13:16:12,30,2.206
8,a,upe,river,2016-06-09 13:16:12,2016-06-09 13:16:15,80,2.739
8,a,padazas,gravy,2016-06-09 13:16:16,2016-06-09 13:16:20,37,3.948
8,a,lietus,rain,2016-06-09 13:16:21,2016-06-09 13:16:25,65,3.999
8,a,kunigas,priest,2016-06-09 13:16:25,2016-06-09 13:16:29,9,3.252
8,a,knyga,book,2016-06-09 13:16:29,2016-06-09 13:16:33,6,3.335
8,a,miestas,city,2016-06-09 13:16:34,2016-06-09 13:16:38,17,3.95
8,a,varpas,bell,2016-06-09 13:16:38,2016-06-09 13:16:41,12,2.572
8,a,masina,car,2016-06-09 13:16:42,2016-06-09 13:16:48,53,5.925
8,a,pinigine,wallet,2016-06-09 13:16:48,2016-06-09 13:16:52,33,3.234
8,a,karalius,king,2016-06-09 13:16:52,2016-06-09 13:16:57,20,4.995
8,a,batas,shoe,2016-06-09 13:16:58,2016-06-09 13:17:01,26,2.855
8,a,akis,eye,2016-06-09 13:17:02,2016-06-09 13:17:08,24,6.092
8,a,laiptelis,stair,2016-06-09 13:17:09,2016-06-09 13:17:12,30,3.035
8,a,duona,bread,2016-06-09 13:17:13,2016-06-09 13:17:15,62,2.738
8,a,kumpis,ham,2016-06-09 13:17:16,2016-06-09 13:17:19,14,2.937
8,a,laikrodis,clock,2016-06-09 13:17:20,2016-06-09 13:17:22,9,2.537
8,a,vaistas,drug,2016-06-09 13:17:23,2016-06-09 13:17:26,51,3.119
