participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
46,c,kreida,chalk,2017-04-06 12:39:46,2017-04-06 12:39:54,49,7.659
46,c,mesa,meat,2017-04-06 12:39:55,2017-04-06 12:39:59,75,4.099
46,c,pastatas,building,2017-04-06 12:40:00,2017-04-06 12:40:02,99,2.737
46,c,muilas,soap,2017-04-06 12:40:03,2017-04-06 12:40:06,71,2.888
46,c,bugnas,drum,2017-04-06 12:40:07,2017-04-06 12:40:10,35,3.319
46,c,rusys,basement,2017-04-06 12:40:11,2017-04-06 12:40:14,90,2.953
46,c,nafta,oil,2017-04-06 12:40:15,2017-04-06 12:40:19,91,3.866
46,c,pupa,bean,2017-04-06 12:40:19,2017-04-06 12:40:22,84,2.822
46,c,mokykla,school,2017-04-06 12:40:23,2017-04-06 12:40:25,61,2.239
46,c,dirzas,belt,2017-04-06 12:40:26,2017-04-06 12:40:29,49,3.102
46,c,arbata,tea,2017-04-06 12:40:30,2017-04-06 12:40:33,33,2.788
46,c,smuikas,violin,2017-04-06 12:40:33,2017-04-06 12:40:37,27,3.334
46,c,traukinys,train,2017-04-06 12:40:38,2017-04-06 12:40:41,22,3.468
46,c,sausainis,cookie,2017-04-06 12:40:42,2017-04-06 12:40:47,43,4.778
46,c,purvas,dirt,2017-04-06 12:40:47,2017-04-06 12:40:51,45,3.667
46,c,kamuolys,ball,2017-04-06 12:40:52,2017-04-06 12:40:56,4,3.849
46,c,burna,mouth,2017-04-06 12:40:57,2017-04-06 12:40:59,41,2.788
46,c,kriaukle,sink,2017-04-06 12:41:00,2017-04-06 12:41:04,74,3.916
46,c,zele,jelly,2017-04-06 12:41:05,2017-04-06 12:41:08,99,2.87
46,c,daina,song,2017-04-06 12:41:09,2017-04-06 12:41:11,81,2.738
46,c,gelezis,iron,2017-04-06 12:41:12,2017-04-06 12:41:16,6,3.601
46,c,sesuo,sister,2017-04-06 12:41:16,2017-04-06 12:41:19,26,2.422
46,c,smegenys,brain,2017-04-06 12:41:20,2017-04-06 12:41:24,76,4.762
46,c,tiltas,bridge,2017-04-06 12:41:25,2017-04-06 12:41:29,69,4.098
46,c,kardas,sword,2017-04-06 12:41:30,2017-04-06 12:41:36,38,6.158
46,c,plyta,brick,2017-04-06 12:41:37,2017-04-06 12:41:43,4,6.107
46,c,lova,bed,2017-04-06 12:41:44,2017-04-06 12:41:47,98,2.888
46,c,kirvis,axe,2017-04-06 12:41:48,2017-04-06 12:41:52,21,4.513
46,c,upe,river,2017-04-06 12:41:53,2017-04-06 12:41:58,74,4.664
46,c,padazas,gravy,2017-04-06 12:41:58,2017-04-06 12:42:02,32,3.788
46,c,lietus,rain,2017-04-06 12:42:03,2017-04-06 12:42:06,21,2.953
46,c,kunigas,priest,2017-04-06 12:42:07,2017-04-06 12:42:10,75,3.252
46,c,knyga,book,2017-04-06 12:42:11,2017-04-06 12:42:14,26,2.77
46,c,miestas,city,2017-04-06 12:42:14,2017-04-06 12:42:20,85,5.227
46,c,varpas,bell,2017-04-06 12:42:20,2017-04-06 12:42:26,23,5.294
46,c,masina,car,2017-04-06 12:42:27,2017-04-06 12:42:30,26,3.004
46,c,pinigine,wallet,2017-04-06 12:42:30,2017-04-06 12:42:35,4,4.214
46,c,karalius,king,2017-04-06 12:42:35,2017-04-06 12:42:38,69,3.087
46,c,batas,shoe,2017-04-06 12:42:39,2017-04-06 12:42:42,90,3.086
46,c,akis,eye,2017-04-06 12:42:43,2017-04-06 12:42:46,27,3.071
46,c,laiptelis,stair,2017-04-06 12:42:47,2017-04-06 12:42:50,18,3.168
46,c,duona,bread,2017-04-06 12:42:51,2017-04-06 12:42:56,49,4.828
46,c,kumpis,ham,2017-04-06 12:42:57,2017-04-06 12:43:02,37,5.062
46,c,laikrodis,clock,2017-04-06 12:43:02,2017-04-06 12:43:06,7,3.729
46,c,vaistas,drug,2017-04-06 12:43:07,2017-04-06 12:43:10,50,3.053
