lithuanian_word,english_word_correct,english_word_response,trial_start,trial_end,participant_num,group
pastatas,building,building,2016-06-03 14:46:44,2016-06-03 14:47:06,8,C
mesa,meat,meat,2016-06-03 14:47:06,2016-06-03 14:47:10,8,C
bugnas,drum,drums,2016-06-03 14:47:10,2016-06-03 14:47:16,8,C
kreida,chalk,chalk,2016-06-03 14:47:16,2016-06-03 14:47:19,8,C
muilas,soap,soap,2016-06-03 14:47:20,2016-06-03 14:47:24,8,C
rusys,basement,guitar,2016-06-03 14:47:24,2016-06-03 14:48:22,8,C
mokykla,school,school,2016-06-03 14:48:22,2016-06-03 14:48:30,8,C
nafta,oil,oil,2016-06-03 14:48:31,2016-06-03 14:48:33,8,C
dirzas,belt,belt,2016-06-03 14:48:34,2016-06-03 14:48:52,8,C
pupa,bean,bread,2016-06-03 14:48:52,2016-06-03 14:49:48,8,C
traukinys,train,train,2016-06-03 14:49:48,2016-06-03 14:49:51,8,C
arbata,tea,tea,2016-06-03 14:49:52,2016-06-03 14:49:54,8,C
sausainis,cookie,cookie,2016-06-03 14:49:55,2016-06-03 14:50:02,8,C
purvas,dirt,dirty,2016-06-03 14:50:03,2016-06-03 14:50:09,8,C
smuikas,violin,violin,2016-06-03 14:50:10,2016-06-03 14:50:28,8,C
zele,jelly,jelly,2016-06-03 14:50:29,2016-06-03 14:50:34,8,C
burna,mouth,fire,2016-06-03 14:50:34,2016-06-03 14:51:12,8,C
kriaukle,sink,piano,2016-06-03 14:51:13,2016-06-03 14:51:23,8,C
daina,song,sing,2016-06-03 14:51:24,2016-06-03 14:51:30,8,C
kamuolys,ball,ball,2016-06-03 14:51:31,2016-06-03 14:51:33,8,C
sesuo,sister,sister,2016-06-03 14:51:34,2016-06-03 14:51:40,8,C
smegenys,brain,brain,2016-06-03 14:51:41,2016-06-03 14:51:43,8,C
gelezis,iron,iron,2016-06-03 14:51:43,2016-06-03 14:51:48,8,C
kardas,sword,sword,2016-06-03 14:51:49,2016-06-03 14:51:52,8,C
tiltas,bridge,axe,2016-06-03 14:51:52,2016-06-03 14:52:01,8,C
lova,bed,bed,2016-06-03 14:52:02,2016-06-03 14:52:04,8,C
plyta,brick,brick,2016-06-03 14:52:04,2016-06-03 14:52:13,8,C
kirvis,axe,axe,2016-06-03 14:52:14,2016-06-03 14:52:28,8,C
upe,river,river,2016-06-03 14:52:29,2016-06-03 14:52:40,8,C
padazas,gravy,gravy,2016-06-03 14:52:40,2016-06-03 14:53:43,8,C
kunigas,priest,priest,2016-06-03 14:53:43,2016-06-03 14:54:09,8,C
knyga,book,book,2016-06-03 14:54:10,2016-06-03 14:54:41,8,C
lietus,rain,rain,2016-06-03 14:54:41,2016-06-03 14:54:45,8,C
miestas,city,city,2016-06-03 14:54:45,2016-06-03 14:55:03,8,C
varpas,bell,harp,2016-06-03 14:55:04,2016-06-03 14:55:10,8,C
batas,shoe,shoe,2016-06-03 14:55:10,2016-06-03 14:55:16,8,C
karalius,king,king,2016-06-03 14:55:17,2016-06-03 14:55:22,8,C
masina,car,car,2016-06-03 14:55:23,2016-06-03 14:55:27,8,C
pinigine,wallet,wallet,2016-06-03 14:55:28,2016-06-03 14:55:36,8,C
akis,eye,eye,2016-06-03 14:55:36,2016-06-03 14:55:45,8,C
laiptelis,stair,stairwell,2016-06-03 14:55:45,2016-06-03 14:55:52,8,C
kumpis,ham,tree,2016-06-03 14:55:53,2016-06-03 14:56:47,8,C
laikrodis,clock,clock,2016-06-03 14:56:48,2016-06-03 14:56:52,8,C
duona,bread,bread,2016-06-03 14:56:52,2016-06-03 14:56:59,8,C
vaistas,drug,vest,2016-06-03 14:57:00,2016-06-03 14:58:04,8,C
