lithuanian_word,english_word_correct,english_word_response,trial_start,trial_end,participant_num,group
pastatas,building,building,2016-09-16 17:15:32,2016-09-16 17:15:42,16,F
mesa,meat,table,2016-09-16 17:15:43,2016-09-16 17:15:51,16,F
bugnas,drum,book,2016-09-16 17:15:51,2016-09-16 17:16:07,16,F
kreida,chalk,cookie,2016-09-16 17:16:08,2016-09-16 17:16:23,16,F
muilas,soap,unsure,2016-09-16 17:16:23,2016-09-16 17:16:36,16,F
rusys,basement,unsure,2016-09-16 17:16:37,2016-09-16 17:16:40,16,F
mokykla,school,home,2016-09-16 17:16:41,2016-09-16 17:16:58,16,F
nafta,oil,unsure,2016-09-16 17:16:59,2016-09-16 17:17:03,16,F
dirzas,belt,unsure,2016-09-16 17:17:03,2016-09-16 17:17:08,16,F
pupa,bean,place,2016-09-16 17:17:08,2016-09-16 17:17:14,16,F
traukinys,train,unsure,2016-09-16 17:17:14,2016-09-16 17:17:25,16,F
arbata,tea,unsure,2016-09-16 17:17:26,2016-09-16 17:17:32,16,F
sausainis,cookie,cookie,2016-09-16 17:17:32,2016-09-16 17:17:39,16,F
purvas,dirt,building,2016-09-16 17:17:40,2016-09-16 17:17:44,16,F
smuikas,violin,unsure,2016-09-16 17:17:44,2016-09-16 17:17:47,16,F
zele,jelly,unsure,2016-09-16 17:17:48,2016-09-16 17:17:51,16,F
burna,mouth,unsure,2016-09-16 17:17:52,2016-09-16 17:17:56,16,F
kriaukle,sink,bed,2016-09-16 17:17:57,2016-09-16 17:18:57,16,F
daina,song,song,2016-09-16 17:18:57,2016-09-16 17:19:01,16,F
kamuolys,ball,unsure,2016-09-16 17:19:01,2016-09-16 17:19:12,16,F
sesuo,sister,unsure,2016-09-16 17:19:13,2016-09-16 17:19:27,16,F
smegenys,brain,unsure,2016-09-16 17:19:28,2016-09-16 17:19:31,16,F
gelezis,iron,girl,2016-09-16 17:19:32,2016-09-16 17:19:36,16,F
kardas,sword,sword,2016-09-16 17:19:37,2016-09-16 17:20:20,16,F
tiltas,bridge,building,2016-09-16 17:20:20,2016-09-16 17:20:23,16,F
lova,bed,bed,2016-09-16 17:20:24,2016-09-16 17:20:28,16,F
plyta,brick,unsure,2016-09-16 17:20:29,2016-09-16 17:20:37,16,F
kirvis,axe,knife,2016-09-16 17:20:38,2016-09-16 17:20:50,16,F
upe,river,unsure,2016-09-16 17:20:50,2016-09-16 17:20:59,16,F
padazas,gravy,steps,2016-09-16 17:20:59,2016-09-16 17:21:09,16,F
kunigas,priest,book,2016-09-16 17:21:10,2016-09-16 17:21:14,16,F
knyga,book,unsure,2016-09-16 17:21:15,2016-09-16 17:21:18,16,F
lietus,rain,unsure,2016-09-16 17:21:18,2016-09-16 17:21:23,16,F
miestas,city,unsure,2016-09-16 17:21:24,2016-09-16 17:21:31,16,F
varpas,bell,unsure,2016-09-16 17:21:31,2016-09-16 17:21:39,16,F
batas,shoe,unsure,2016-09-16 17:21:40,2016-09-16 17:21:48,16,F
karalius,king,unsure,2016-09-16 17:21:49,2016-09-16 17:21:53,16,F
masina,car,unsure,2016-09-16 17:21:53,2016-09-16 17:21:56,16,F
pinigine,wallet,unsure,2016-09-16 17:21:56,2016-09-16 17:22:07,16,F
akis,eye,unsure,2016-09-16 17:22:07,2016-09-16 17:22:09,16,F
laiptelis,stair,unsure,2016-09-16 17:22:09,2016-09-16 17:22:18,16,F
kumpis,ham,food,2016-09-16 17:22:18,2016-09-16 17:22:25,16,F
laikrodis,clock,unsure,2016-09-16 17:22:25,2016-09-16 17:22:27,16,F
duona,bread,song,2016-09-16 17:22:28,2016-09-16 17:22:34,16,F
vaistas,drug,unsure,2016-09-16 17:22:35,2016-09-16 17:22:44,16,F
