participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
62,f,kreida,chalk,2020-02-12 11:47:13,2020-02-12 11:47:26,25,13.122
62,f,mesa,meat,2020-02-12 11:47:27,2020-02-12 11:47:34,75,6.85
62,f,pastatas,building,2020-02-12 11:47:35,2020-02-12 11:47:40,62,4.823
62,f,muilas,soap,2020-02-12 11:47:40,2020-02-12 11:47:55,20,14.553
62,f,bugnas,drum,2020-02-12 11:47:56,2020-02-12 11:48:00,20,3.842
62,f,rusys,basement,2020-02-12 11:48:00,2020-02-12 11:48:06,30,5.761
62,f,nafta,oil,2020-02-12 11:48:07,2020-02-12 11:48:13,50,5.98
62,f,pupa,bean,2020-02-12 11:48:14,2020-02-12 11:48:20,100,5.763
62,f,mokykla,school,2020-02-12 11:48:20,2020-02-12 11:48:24,81,4.117
62,f,dirzas,belt,2020-02-12 11:48:25,2020-02-12 11:48:30,75,4.392
62,f,arbata,tea,2020-02-12 11:48:30,2020-02-12 11:48:36,85,5.648
62,f,smuikas,violin,2020-02-12 11:48:37,2020-02-12 11:48:44,40,6.88
62,f,traukinys,train,2020-02-12 11:48:45,2020-02-12 11:48:55,71,9.905
62,f,sausainis,cookie,2020-02-12 11:48:55,2020-02-12 11:49:02,25,6.997
62,f,purvas,dirt,2020-02-12 11:49:03,2020-02-12 11:49:12,22,9.169
62,f,kamuolys,ball,2020-02-12 11:49:13,2020-02-12 11:49:19,26,5.794
62,f,burna,mouth,2020-02-12 11:49:20,2020-02-12 11:49:26,95,5.862
62,f,kriaukle,sink,2020-02-12 11:49:26,2020-02-12 11:49:38,18,11.137
62,f,zele,jelly,2020-02-12 11:49:38,2020-02-12 11:49:41,100,2.488
62,f,daina,song,2020-02-12 11:49:42,2020-02-12 11:49:52,74,9.957
62,f,gelezis,iron,2020-02-12 11:49:52,2020-02-12 11:49:58,45,5.611
62,f,sesuo,sister,2020-02-12 11:49:59,2020-02-12 11:50:06,75,7.25
62,f,smegenys,brain,2020-02-12 11:50:07,2020-02-12 11:50:13,24,6.397
62,f,tiltas,bridge,2020-02-12 11:50:14,2020-02-12 11:50:19,45,4.894
62,f,kardas,sword,2020-02-12 11:50:20,2020-02-12 11:50:24,40,4.057
62,f,plyta,brick,2020-02-12 11:50:25,2020-02-12 11:50:28,60,3.525
62,f,lova,bed,2020-02-12 11:50:29,2020-02-12 11:50:43,56,14.436
62,f,kirvis,axe,2020-02-12 11:50:44,2020-02-12 11:50:48,55,3.991
62,f,upe,river,2020-02-12 11:50:49,2020-02-12 11:50:54,70,5.431
62,f,padazas,gravy,2020-02-12 11:50:55,2020-02-12 11:51:06,25,11.243
62,f,lietus,rain,2020-02-12 11:51:07,2020-02-12 11:51:13,35,5.679
62,f,kunigas,priest,2020-02-12 11:51:14,2020-02-12 11:51:21,40,7.047
62,f,knyga,book,2020-02-12 11:51:22,2020-02-12 11:51:28,19,6.515
62,f,miestas,city,2020-02-12 11:51:29,2020-02-12 11:51:36,66,6.982
62,f,varpas,bell,2020-02-12 11:51:37,2020-02-12 11:51:47,41,10.625
62,f,masina,car,2020-02-12 11:51:48,2020-02-12 11:51:58,38,9.705
62,f,pinigine,wallet,2020-02-12 11:51:59,2020-02-12 11:52:03,30,4.423
62,f,karalius,king,2020-02-12 11:52:04,2020-02-12 11:52:07,75,3.456
62,f,batas,shoe,2020-02-12 11:52:08,2020-02-12 11:52:12,90,3.456
62,f,akis,eye,2020-02-12 11:52:12,2020-02-12 11:52:17,90,4.228
62,f,laiptelis,stair,2020-02-12 11:52:17,2020-02-12 11:52:24,40,7.047
62,f,duona,bread,2020-02-12 11:52:25,2020-02-12 11:52:30,15,4.578
62,f,kumpis,ham,2020-02-12 11:52:31,2020-02-12 11:52:36,0,5.48
62,f,laikrodis,clock,2020-02-12 11:52:37,2020-02-12 11:52:42,10,5.375
62,f,vaistas,drug,2020-02-12 11:52:43,2020-02-12 11:52:50,96,7.017
