lithuanian_word,english_word_correct,english_word_response,trial_start,trial_end,participant_num,group
pastatas,building,not sure,2017-02-06 12:12:03,2017-02-06 12:12:25,34,H
mesa,meat,house,2017-02-06 12:12:26,2017-02-06 12:12:31,34,H
bugnas,drum,not sure,2017-02-06 12:12:31,2017-02-06 12:12:35,34,H
kreida,chalk,brick,2017-02-06 12:12:35,2017-02-06 12:12:43,34,H
muilas,soap,not sure,2017-02-06 12:12:43,2017-02-06 12:12:48,34,H
rusys,basement,people,2017-02-06 12:12:48,2017-02-06 12:12:53,34,H
mokykla,school,not sure,2017-02-06 12:12:53,2017-02-06 12:12:59,34,H
nafta,oil,house,2017-02-06 12:13:00,2017-02-06 12:13:05,34,H
dirzas,belt,not sure,2017-02-06 12:13:06,2017-02-06 12:13:08,34,H
pupa,bean,student,2017-02-06 12:13:09,2017-02-06 12:13:12,34,H
traukinys,train,soup,2017-02-06 12:13:13,2017-02-06 12:13:18,34,H
arbata,tea,not sure,2017-02-06 12:13:19,2017-02-06 12:13:22,34,H
sausainis,cookie,not sure,2017-02-06 12:13:22,2017-02-06 12:13:30,34,H
purvas,dirt,clean,2017-02-06 12:13:31,2017-02-06 12:13:37,34,H
smuikas,violin,not sure,2017-02-06 12:13:37,2017-02-06 12:13:40,34,H
zele,jelly,not sure,2017-02-06 12:13:41,2017-02-06 12:13:44,34,H
burna,mouth,oil,2017-02-06 12:13:44,2017-02-06 12:13:47,34,H
kriaukle,sink,not sure,2017-02-06 12:13:48,2017-02-06 12:13:53,34,H
daina,song,not sure,2017-02-06 12:13:53,2017-02-06 12:14:02,34,H
kamuolys,ball,not sure,2017-02-06 12:14:02,2017-02-06 12:14:06,34,H
sesuo,sister,not sure,2017-02-06 12:14:07,2017-02-06 12:14:10,34,H
smegenys,brain,shits,2017-02-06 12:14:11,2017-02-06 12:14:18,34,H
gelezis,iron,star,2017-02-06 12:14:18,2017-02-06 12:14:21,34,H
kardas,sword,not sure,2017-02-06 12:14:22,2017-02-06 12:14:28,34,H
tiltas,bridge,not sure,2017-02-06 12:14:28,2017-02-06 12:14:32,34,H
lova,bed,not srue,2017-02-06 12:14:32,2017-02-06 12:14:38,34,H
plyta,brick,brick,2017-02-06 12:14:39,2017-02-06 12:14:43,34,H
kirvis,axe,not sure,2017-02-06 12:14:44,2017-02-06 12:14:47,34,H
upe,river,river,2017-02-06 12:14:48,2017-02-06 12:14:56,34,H
padazas,gravy,not sure,2017-02-06 12:14:57,2017-02-06 12:14:59,34,H
kunigas,priest,not sure,2017-02-06 12:15:00,2017-02-06 12:15:03,34,H
knyga,book,not sure,2017-02-06 12:15:04,2017-02-06 12:15:06,34,H
lietus,rain,not sure,2017-02-06 12:15:07,2017-02-06 12:15:09,34,H
miestas,city,not sure,2017-02-06 12:15:09,2017-02-06 12:15:11,34,H
varpas,bell,not sure,2017-02-06 12:15:12,2017-02-06 12:15:16,34,H
batas,shoe,not sure,2017-02-06 12:15:16,2017-02-06 12:15:20,34,H
karalius,king,not sure,2017-02-06 12:15:21,2017-02-06 12:15:24,34,H
masina,car,dinner,2017-02-06 12:15:24,2017-02-06 12:15:29,34,H
pinigine,wallet,not sure,2017-02-06 12:15:29,2017-02-06 12:15:33,34,H
akis,eye,not sure,2017-02-06 12:15:34,2017-02-06 12:15:36,34,H
laiptelis,stair,not sure,2017-02-06 12:15:37,2017-02-06 12:15:39,34,H
kumpis,ham,not sure,2017-02-06 12:15:40,2017-02-06 12:15:42,34,H
laikrodis,clock,not sure,2017-02-06 12:15:42,2017-02-06 12:15:44,34,H
duona,bread,not sure,2017-02-06 12:15:44,2017-02-06 12:15:47,34,H
vaistas,drug,not sure,2017-02-06 12:15:47,2017-02-06 12:15:50,34,H
