participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
48,h,kreida,chalk,2017-03-30 15:23:12,2017-03-30 15:23:19,7,6.382
48,h,mesa,meat,2017-03-30 15:23:20,2017-03-30 15:23:22,100,2.505
48,h,pastatas,building,2017-03-30 15:23:23,2017-03-30 15:23:25,100,1.841
48,h,muilas,soap,2017-03-30 15:23:26,2017-03-30 15:23:29,31,2.921
48,h,bugnas,drum,2017-03-30 15:23:29,2017-03-30 15:23:32,49,3.004
48,h,rusys,basement,2017-03-30 15:23:33,2017-03-30 15:23:36,20,2.422
48,h,nafta,oil,2017-03-30 15:23:36,2017-03-30 15:23:39,21,2.821
48,h,pupa,bean,2017-03-30 15:23:40,2017-03-30 15:23:44,72,3.718
48,h,mokykla,school,2017-03-30 15:23:44,2017-03-30 15:23:47,60,2.92
48,h,dirzas,belt,2017-03-30 15:23:48,2017-03-30 15:23:52,10,3.782
48,h,arbata,tea,2017-03-30 15:23:53,2017-03-30 15:23:55,90,2.589
48,h,smuikas,violin,2017-03-30 15:23:56,2017-03-30 15:24:00,9,3.865
48,h,traukinys,train,2017-03-30 15:24:01,2017-03-30 15:24:04,40,2.952
48,h,sausainis,cookie,2017-03-30 15:24:05,2017-03-30 15:24:08,99,3.401
48,h,purvas,dirt,2017-03-30 15:24:09,2017-03-30 15:24:11,30,2.324
48,h,kamuolys,ball,2017-03-30 15:24:12,2017-03-30 15:24:15,20,3.584
48,h,burna,mouth,2017-03-30 15:24:16,2017-03-30 15:24:19,60,2.406
48,h,kriaukle,sink,2017-03-30 15:24:19,2017-03-30 15:24:23,17,3.8
48,h,zele,jelly,2017-03-30 15:24:24,2017-03-30 15:24:28,76,3.5
48,h,daina,song,2017-03-30 15:24:28,2017-03-30 15:24:32,18,3.12
48,h,gelezis,iron,2017-03-30 15:24:32,2017-03-30 15:24:35,18,3.169
48,h,sesuo,sister,2017-03-30 15:24:36,2017-03-30 15:24:39,99,2.953
48,h,smegenys,brain,2017-03-30 15:24:40,2017-03-30 15:24:43,26,3.052
48,h,tiltas,bridge,2017-03-30 15:24:44,2017-03-30 15:24:46,64,2.604
48,h,kardas,sword,2017-03-30 15:24:47,2017-03-30 15:24:50,81,2.322
48,h,plyta,brick,2017-03-30 15:24:50,2017-03-30 15:24:54,75,3.618
48,h,lova,bed,2017-03-30 15:24:55,2017-03-30 15:24:57,99,2.523
48,h,kirvis,axe,2017-03-30 15:24:58,2017-03-30 15:25:01,70,2.388
48,h,upe,river,2017-03-30 15:25:01,2017-03-30 15:25:03,75,1.875
48,h,padazas,gravy,2017-03-30 15:25:04,2017-03-30 15:25:08,6,4.38
48,h,lietus,rain,2017-03-30 15:25:09,2017-03-30 15:25:12,35,2.486
48,h,kunigas,priest,2017-03-30 15:25:12,2017-03-30 15:25:16,16,3.401
48,h,knyga,book,2017-03-30 15:25:17,2017-03-30 15:25:19,9,2.788
48,h,miestas,city,2017-03-30 15:25:20,2017-03-30 15:25:24,24,3.385
48,h,varpas,bell,2017-03-30 15:25:24,2017-03-30 15:25:27,16,2.288
48,h,masina,car,2017-03-30 15:25:28,2017-03-30 15:25:30,39,2.904
48,h,pinigine,wallet,2017-03-30 15:25:31,2017-03-30 15:25:34,55,2.687
48,h,karalius,king,2017-03-30 15:25:35,2017-03-30 15:25:38,11,3.567
48,h,batas,shoe,2017-03-30 15:25:39,2017-03-30 15:25:43,64,3.485
48,h,akis,eye,2017-03-30 15:25:43,2017-03-30 15:25:45,79,2.058
48,h,laiptelis,stair,2017-03-30 15:25:46,2017-03-30 15:25:50,8,3.451
48,h,duona,bread,2017-03-30 15:25:50,2017-03-30 15:25:53,14,2.671
48,h,kumpis,ham,2017-03-30 15:25:54,2017-03-30 15:25:56,29,2.257
48,h,laikrodis,clock,2017-03-30 15:25:57,2017-03-30 15:26:02,6,5.177
48,h,vaistas,drug,2017-03-30 15:26:03,2017-03-30 15:26:05,6,2.321
